id_grade,lat_centroide,lon_centroide,populacao,domicilios,bairro,tipo_local,zona,area_km2,municipio,cd_municipio
1KME6165N8946,-21.20506,-42.744483,0,0,Miraí,cidade,rural,1.0006,Cataguases,3115300
1KME6164N8946,-21.205422,-42.75413,0,0,Glória de Cataguases,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6166N8945,-21.2137,-42.734448,0,0,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6165N8945,-21.214062,-42.744095,3,1,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6164N8945,-21.214425,-42.753742,0,0,Santa Maria,localidade rural,rural,1.0005,Cataguases,3115300
1KME6168N8944,-21.221977,-42.714764,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6167N8944,-21.22234,-42.724412,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8944,-21.222703,-42.734059,0,0,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6165N8944,-21.223066,-42.743707,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6164N8944,-21.223428,-42.753354,0,0,Santa Maria,localidade rural,rural,1.0005,Cataguases,3115300
1KME6175N8943,-21.228429,-42.646841,0,0,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8943,-21.228794,-42.656489,0,0,Glória,distrito rural,rural,1.0007,Cataguases,3115300
1KME6173N8943,-21.229159,-42.666137,0,0,Glória,distrito rural,rural,1.0007,Cataguases,3115300
1KME6171N8943,-21.229888,-42.685432,0,0,Glória,distrito rural,rural,1.0006,Cataguases,3115300
1KME6170N8943,-21.230253,-42.69508,0,0,Glória,distrito rural,rural,1.0006,Cataguases,3115300
1KME6169N8943,-21.230616,-42.704727,5,2,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6168N8943,-21.23098,-42.714375,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6167N8943,-21.231343,-42.724023,12,6,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8943,-21.231706,-42.733671,2,1,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6165N8943,-21.232069,-42.743318,0,0,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6164N8943,-21.232431,-42.752966,0,0,Glória de Cataguases,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6176N8942,-21.237066,-42.636802,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8942,-21.237432,-42.64645,0,0,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8942,-21.237797,-42.656098,0,0,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6173N8942,-21.238163,-42.665746,0,0,Glória,distrito rural,rural,1.0007,Cataguases,3115300
1KME6172N8942,-21.238527,-42.675394,0,0,Glória,distrito rural,rural,1.0006,Cataguases,3115300
1KME6171N8942,-21.238892,-42.685041,0,0,Glória,distrito rural,rural,1.0006,Cataguases,3115300
1KME6170N8942,-21.239256,-42.69469,5,1,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8942,-21.23962,-42.704338,8,3,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6168N8942,-21.239983,-42.713986,4,2,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6167N8942,-21.240347,-42.723634,2,1,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8942,-21.24071,-42.733282,2,1,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6165N8942,-21.241072,-42.74293,0,0,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6164N8942,-21.241435,-42.752578,0,0,Jaguara,localidade rural,rural,1.0005,Cataguases,3115300
1KME6178N8941,-21.245337,-42.617113,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8941,-21.245704,-42.626762,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8941,-21.24607,-42.63641,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8941,-21.246435,-42.646058,3,1,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8941,-21.246801,-42.655706,0,0,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6173N8941,-21.247166,-42.665354,4,1,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6172N8941,-21.247531,-42.675003,0,0,Glória,distrito rural,rural,1.0006,Cataguases,3115300
1KME6171N8941,-21.247895,-42.684651,0,0,Glória,distrito rural,rural,1.0006,Cataguases,3115300
1KME6170N8941,-21.24826,-42.694299,14,9,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8941,-21.248624,-42.703948,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6168N8941,-21.248987,-42.713596,9,4,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6167N8941,-21.24935,-42.723245,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8941,-21.249713,-42.732893,14,5,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6165N8941,-21.250076,-42.742541,10,4,Carangola,localidade rural,rural,1.0006,Cataguases,3115300
1KME6164N8941,-21.250438,-42.75219,0,0,Jaguara,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8941,-21.250801,-42.761839,5,1,Jaguara,localidade rural,rural,1.0005,Cataguases,3115300
1KME6180N8940,-21.253607,-42.597424,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8940,-21.253974,-42.607072,0,0,Santana de Cataguases,distrito rural,rural,1.0007,Cataguases,3115300
1KME6178N8940,-21.254341,-42.616721,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8940,-21.254707,-42.626369,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8940,-21.255073,-42.636018,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8940,-21.255439,-42.645666,5,2,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8940,-21.255805,-42.655315,7,2,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6173N8940,-21.25617,-42.664963,6,1,Glória de Cataguases,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6172N8940,-21.256535,-42.674612,21,8,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6171N8940,-21.256899,-42.684261,15,6,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6170N8940,-21.257264,-42.693909,28,10,Glória de Cataguases,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8940,-21.257627,-42.703558,0,0,Santa Maria,localidade rural,rural,1.0006,Cataguases,3115300
1KME6168N8940,-21.257991,-42.713207,4,2,Carangola,localidade rural,rural,1.0006,Cataguases,3115300
1KME6167N8940,-21.258354,-42.722855,2,1,Carangola,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8940,-21.258717,-42.732504,11,5,Carangola,localidade rural,rural,1.0006,Cataguases,3115300
